instance,solver,score,time_sec,feasible,gap,extras
decomposable_s3004_i4,mip_highs,24.00000000000001,0.0044510000152513385,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
decomposable_s3004_i4,dimod_sa,-inf,14.32662879198324,False,,
decomposable_s3004_i4,bnb,24.0,0.9156520830001682,True,,{'nodes': 173909}
decomposable_s3005_i5,greedy,24.00000000000001,6.683298852294683e-05,True,,"{'selected': [0, 1, 2, 3, 4, 5]}"
decomposable_s3005_i5,local_search,15.300000000000004,0.00013687502359971404,True,,
decomposable_s3005_i5,cpsat,24.0,0.0038643330335617065,True,0.0,{'status': 4}
decomposable_s3005_i5,mip_highs,24.00000000000001,0.004402083985041827,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
decomposable_s3005_i5,dimod_sa,-inf,14.325749166018795,False,,
decomposable_s3005_i5,bnb,24.0,0.921678582963068,True,,{'nodes': 173909}
decomposable_s3006_i6,greedy,24.00000000000001,6.9500005338341e-05,True,,"{'selected': [0, 1, 2, 3, 4, 5]}"
decomposable_s3006_i6,local_search,15.300000000000004,0.00014170800568535924,True,,
decomposable_s3006_i6,cpsat,24.0,0.0038930000155232847,True,0.0,{'status': 4}
decomposable_s3006_i6,mip_highs,24.00000000000001,0.004453665984328836,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
decomposable_s3006_i6,dimod_sa,-inf,14.276240083039738,False,,
decomposable_s3006_i6,bnb,24.0,0.9111701250076294,True,,{'nodes': 173909}
decomposable_s3007_i7,greedy,24.00000000000001,7.312500383704901e-05,True,,"{'selected': [0, 1, 2, 3, 4, 5]}"
decomposable_s3007_i7,local_search,15.300000000000004,0.0001574999769218266,True,,
decomposable_s3007_i7,cpsat,24.0,0.004007917013950646,True,0.0,{'status': 4}
decomposable_s3007_i7,mip_highs,24.00000000000001,0.004732209024950862,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
decomposable_s3007_i7,dimod_sa,-inf,14.248112333996687,False,,
decomposable_s3007_i7,bnb,24.0,0.9083685419755057,True,,{'nodes': 173909}
decomposable_s3008_i8,greedy,24.00000000000001,7.354200351983309e-05,True,,"{'selected': [0, 1, 2, 3, 4, 5]}"
decomposable_s3008_i8,local_search,15.300000000000004,0.0001521250233054161,True,,
decomposable_s3008_i8,cpsat,24.0,0.004073415999300778,True,0.0,{'status': 4}
decomposable_s3008_i8,mip_highs,24.00000000000001,0.0045436249929480255,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
decomposable_s3008_i8,dimod_sa,-inf,14.370545000012498,False,,
decomposable_s3008_i8,bnb,24.0,0.9211467910208739,True,,{'nodes': 173909}
decomposable_s3009_i9,greedy,24.00000000000001,6.658298661932349e-05,True,,"{'selected': [0, 1, 2, 3, 4, 5]}"
decomposable_s3009_i9,local_search,15.300000000000004,0.0001377920270897448,True,,
decomposable_s3009_i9,cpsat,24.0,0.004030624986626208,True,0.0,{'status': 4}
decomposable_s3009_i9,mip_highs,24.00000000000001,0.0050119999796152115,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
decomposable_s3009_i9,dimod_sa,-inf,14.282289292023052,False,,
decomposable_s3009_i9,bnb,24.0,0.9056011670036241,True,,{'nodes': 173909}
