seed,condition,method,instance,family,n_cities,repetition,trial_seed,feasible,tour_length,optimum,optimality_gap,runtime_seconds,status,solver_sha256
101,trained,trained,rd100,rd,100,1,3907821922,True,8347.0,7910.0,0.05524652338811631,2.2221151230623946,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,rd100,rd,100,2,1146810160,True,8347.0,7910.0,0.05524652338811631,2.227457389002666,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,rd100,rd,100,3,2272378577,True,8347.0,7910.0,0.05524652338811631,2.238861646037549,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,rd100,rd,100,4,382144134,True,8347.0,7910.0,0.05524652338811631,2.2468910940224305,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,st70,st,70,0,101789047,True,727.0,675.0,0.07703703703703704,0.6364256449742243,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,st70,st,70,1,1817963742,True,727.0,675.0,0.07703703703703704,0.6300267059123144,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,st70,st,70,2,3377538981,True,727.0,675.0,0.07703703703703704,0.637223732075654,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,st70,st,70,3,1998005209,True,727.0,675.0,0.07703703703703704,0.6408331560669467,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,st70,st,70,4,1281180645,True,727.0,675.0,0.07703703703703704,0.6409759359667078,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
202,trained,trained,berlin52,berlin,52,0,1307849792,True,9220.0,7542.0,0.22248740387165208,0.20215571497101337,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,berlin52,berlin,52,1,3277331869,True,9504.0,7542.0,0.26014319809069214,0.21027773595415056,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,berlin52,berlin,52,2,1462527134,True,9334.0,7542.0,0.23760275788915408,0.20331510296091437,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,berlin52,berlin,52,3,1206322321,True,9323.0,7542.0,0.23614425881728984,0.21241882198955864,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,berlin52,berlin,52,4,1821245425,True,9257.0,7542.0,0.2273932643861045,0.06792411208152771,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,eil51,eil,51,0,2728875276,True,512.0,426.0,0.20187793427230047,0.061860171030275524,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,eil51,eil,51,1,1145393862,True,576.0,426.0,0.352112676056338,0.07148627494461834,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,eil51,eil,51,2,2520453275,True,536.0,426.0,0.25821596244131456,0.07339213497471064,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,eil51,eil,51,3,2391094895,True,583.0,426.0,0.3685446009389671,0.07397694990504533,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,eil51,eil,51,4,4135541542,True,554.0,426.0,0.3004694835680751,0.07101985695771873,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,eil76,eil,76,0,1872455240,True,670.0,538.0,0.24535315985130113,0.07121642690617591,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,eil76,eil,76,1,1201220422,True,690.0,538.0,0.2825278810408922,0.07056329492479563,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,eil76,eil,76,2,4291966838,True,682.0,538.0,0.26765799256505574,0.07069183501880616,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,eil76,eil,76,3,363706161,True,709.0,538.0,0.31784386617100374,0.07203678495716304,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,eil76,eil,76,4,120023577,True,682.0,538.0,0.26765799256505574,0.07177221798337996,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroA100,kroa,100,0,1754305261,True,27656.0,21282.0,0.2995019265106663,0.0701644589425996,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroA100,kroa,100,1,1529077031,True,28373.0,21282.0,0.3331923691382389,0.08255620498675853,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroA100,kroa,100,2,2722975925,True,26685.0,21282.0,0.25387651536509726,0.06899739103391767,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroA100,kroa,100,3,1692444789,True,27214.0,21282.0,0.27873320176675126,0.08262794592883438,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroA100,kroa,100,4,2700725090,True,26462.0,21282.0,0.24339817686307677,0.06718906306196004,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
